timestamp,open,high,low,close,volume,numtrades,vwap
2023-02-22T16:15:00Z,355.08,355.49,354.9,355.22,44857,1228,355.230612
2023-02-22T16:30:00Z,355.17,355.9,355.16,355.83,39838,1298,355.509999
2023-02-22T16:45:00Z,355.84,356.01,355.455,355.89,37682,1056,355.727559
2023-02-22T17:00:00Z,355.81,356.08,355.57,355.7175,37368,1127,355.883893
2023-02-22T17:15:00Z,355.98,356.7,355.98,356.48,28296,929,356.50627
2023-02-22T17:30:00Z,356.5,357.25,356.45,356.98,37039,1395,356.78252
2023-02-22T17:45:00Z,357.08,357.13,356.6,356.615,31276,949,356.831243
2023-02-22T18:00:00Z,356.58,356.6,356.23,356.395,37147,1198,356.450211
2023-02-22T18:15:00Z,356.45,356.92,356.3901,356.834,52606,1496,356.622884
2023-02-22T18:30:00Z,356.85,357.095,356.3,357.095,36884,1221,356.622876
2023-02-22T18:45:00Z,357.02,357.12,356.26,356.61,36736,1148,356.759744
2023-02-22T19:00:00Z,356.49,357.03,355.2,355.36,59759,1601,356.221042
2023-02-22T19:15:00Z,355.34,356,354.92,355.32,42198,1341,355.464675
2023-02-22T19:30:00Z,355.23,355.27,354.36,354.56,60029,1846,354.820421
2023-02-22T19:45:00Z,354.7051,355.02,353.52,353.57,56214,1749,354.268872
2023-02-22T20:00:00Z,353.5,353.795,353.21,353.414,63805,1887,353.498331
2023-02-22T20:15:00Z,353.35,354.45,353.28,353.96,55736,1919,353.912471
2023-02-22T20:30:00Z,353.85,354.1,353.34,353.57,79414,2566,353.704879
2023-02-22T20:45:00Z,353.47,355.09,353.24,355.03,186306,5365,354.311874
2023-02-22T21:00:00Z,354.97,354.97,354.97,354.97,519679,85,354.971057
2023-02-22T22:15:00Z,355.61,355.61,355.61,355.61,1094,2,355.61
2023-02-23T14:15:00Z,356.98,356.98,356.98,356.98,388,6,356.966856
2023-02-23T14:30:00Z,357.74,357.74,354.72,355.29,128488,2512,356.149491
2023-02-23T14:45:00Z,355.36,356.115,355.1,355.62,76572,1920,355.602629
2023-02-23T15:00:00Z,355.67,356.06,353.79,354.435,73158,1815,354.83055
2023-02-23T15:15:00Z,354.43,356.32,354.43,355.825,70500,1693,355.695914
2023-02-23T15:30:00Z,355.9,356.28,355.16,355.29,47333,1294,355.715358
2023-02-23T15:45:00Z,355.17,355.17,354.107,354.71,47678,1309,354.717361
2023-02-23T16:00:00Z,354.69,355.23,353.5916,353.87,56748,1496,354.39042
2023-02-23T16:15:00Z,353.76,353.97,353.2,353.57,52877,1232,353.609234
2023-02-23T16:30:00Z,353.49,354.11,352.36,352.6,66930,1600,353.217563
2023-02-23T16:45:00Z,352.55,352.85,351.66,351.95,51457,1481,352.232864
2023-02-23T17:00:00Z,351.89,353,351.74,353,37734,1143,352.450205
2023-02-23T17:15:00Z,353.08,353.48,352.445,353.055,43641,1288,353.071519
2023-02-23T17:30:00Z,353.07,353.585,352.79,353.17,57296,1427,353.250466
2023-02-23T17:45:00Z,353.21,354,353.2,353.82,45412,1254,353.558101
2023-02-23T18:00:00Z,353.97,354.46,353.76,354.27,52140,1560,354.088401
2023-02-23T18:15:00Z,354.32,354.65,354.07,354.4269,33634,1019,354.406691
2023-02-23T18:30:00Z,354.41,354.9341,354.16,354.365,38571,1198,354.394498
2023-02-23T18:45:00Z,354.37,354.87,354.14,354.71,39560,1099,354.53376
2023-02-23T19:00:00Z,354.8,354.98,354.385,354.98,30908,891,354.633999
2023-02-23T19:15:00Z,354.96,355.54,354.8,354.97,55301,1573,355.198779
2023-02-23T19:30:00Z,355.03,355.8675,355.01,355.45,41265,1178,355.506332
2023-02-23T19:45:00Z,355.5,355.75,355.12,355.37,60683,1689,355.412039
2023-02-23T20:00:00Z,355.405,356.62,355.37,356.39,48374,1450,356.244588
2023-02-23T20:15:00Z,356.37,356.6269,356.04,356.6269,76422,2047,356.343249
2023-02-23T20:30:00Z,356.66,356.685,355.965,356.29,83972,2331,356.367685
2023-02-23T20:45:00Z,356.22,356.22,355.36,355.66,215207,5843,355.748707
2023-02-23T21:00:00Z,355.53,355.53,355.53,355.53,341047,56,355.529682
