,Date,Ticker,Sector,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_tot,Open,High,Low,Close,Volume
62,2019-06-16,MSFT,Technology,0.059,0.059,0.059,0.059,126.136,127.595,125.545,126.317,17821700.0
63,2019-06-17,MSFT,Technology,0.01114,0.01114,0.01114,0.01114,126.489,127.538,126.393,126.698,14517800.0
64,2019-06-18,MSFT,Technology,0.042,0.042,0.042,0.042,127.976,128.978,127.385,128.901,25934500.0
65,2019-06-19,MSFT,Technology,0.,0.,0.,0.,128.749,129.636,127.614,129.407,23744400.0
66,2019-06-20,MSFT,Technology,0.,0.,0.,0.,131.085,131.286,129.436,130.609,33042600.0
67,2019-06-21,MSFT,Technology,0.,0.,0.,0.,130.256,131.352,130.141,130.628,36727900.0
68,2019-06-22,MSFT,Technology,0.,0.,0.,0.,130.256,131.352,130.141,130.628,36727900.0
69,2019-06-23,MSFT,Technology,0.081,0.081,0.081,0.081,130.256,131.352,130.141,130.628,36727900.0
70,2019-06-24,MSFT,Technology,0.06314,0.06314,0.06314,0.06314,130.656,131.991,130.656,131.400,20628800.0
71,2019-06-25,MSFT,Technology,0.02467,0.02467,0.02467,0.02467,130.895,131.219,126.584,127.252,33327400.0
72,2019-06-26,MSFT,Technology,0.,0.,0.,0.,128.129,129.455,127.414,127.728,23657700.0
73,2019-06-27,MSFT,Technology,0.061,0.061,0.061,0.061,127.929,128.472,127.328,127.938,16557500.0
74,2019-06-28,MSFT,Technology,0.106,0.106,0.106,0.106,128.339,128.367,126.994,127.757,30043000.0
75,2019-06-29,MSFT,Technology,0.,0.,0.,0.,128.339,128.367,126.994,127.757,30043000.0
76,2019-07-02,MSFT,Technology,0.,0.,0.,0.,129.817,130.265,129.073,130.256,15237800.0
77,2019-07-03,MSFT,Technology,0.0725,0.0725,0.0725,0.0725,130.466,131.362,129.979,131.095,13629300.0
78,2019-07-05,MSFT,Technology,0.,0.,0.,0.,129.645,130.971,129.436,130.714,18141100.0
79,2019-07-08,MSFT,Technology,0.,0.,0.,0.,130.084,130.752,129.102,130.618,16779700.0
80,2019-07-09,MSFT,Technology,0.041,0.041,0.041,0.041,129.703,130.628,129.512,130.141,19953100.0
81,2019-07-10,MSFT,Technology,0.,0.,0.,0.,130.780,132.163,130.675,131.467,24204400.0
82,2019-07-11,MSFT,Technology,0.0028,0.0028,0.0028,0.0028,131.801,132.774,131.486,131.992,22327900.0
83,2019-07-12,MSFT,Technology,0.0052,0.0052,0.0052,0.0052,132.421,132.688,131.62,132.468,18936800.0
84,2019-07-13,MSFT,Technology,0.0845,0.0845,0.0845,0.0845,132.421,132.688,131.62,132.468,18936800.0
85,2019-07-14,MSFT,Technology,0.,0.,0.,0.,132.421,132.688,131.62,132.468,18936800.0
86,2019-07-15,MSFT,Technology,0.0235,0.0235,0.0235,0.0235,132.983,133.079,132.049,132.468,16651500.0
87,2019-07-16,MSFT,Technology,0.0075,0.0075,0.0075,0.0075,132.526,132.611,130.199,130.733,22726100.0
88,2019-07-17,MSFT,Technology,0.01814,0.01814,0.01814,0.01814,131.324,131.543,129.912,129.960,20211000.0
89,2019-07-18,MSFT,Technology,0.01428,0.01428,0.01428,0.01428,129.273,130.294,128.434,130.103,30381800.0
90,2019-07-19,MSFT,Technology,0.0175,0.0175,0.0175,0.0175,133.727,134.156,130.132,130.294,48992400.0
91,2019-07-20,MSFT,Technology,0.,0.,0.,0.,133.727,134.156,130.132,130.294,48992400.0
92,2019-07-22,MSFT,Technology,0.06875,0.06875,0.06875,0.06875,131.047,132.745,130.971,132.020,25074900.0
93,2019-07-23,MSFT,Technology,0.00413,0.00413,0.00413,0.00413,133.288,133.508,131.639,132.840,18034600.0
94,2019-07-24,MSFT,Technology,0.01814,0.01814,0.01814,0.01814,132.468,134.223,132.421,134.204,20738300.0
95,2019-07-25,MSFT,Technology,0.033,0.033,0.033,0.033,133.927,134.099,132.869,133.699,18356900.0
96,2019-07-26,MSFT,Technology,0.054,0.054,0.054,0.054,133.870,135.12,133.804,134.795,19037600.0
97,2019-07-28,MSFT,Technology,0.,0.,0.,0.,133.870,135.12,133.804,134.795,19037600.0
98,2019-07-29,MSFT,Technology,0.0182,0.0182,0.0182,0.0182,134.948,134.957,132.917,134.5,16605900.0
99,2019-07-30,MSFT,Technology,0.03267,0.03267,0.03267,0.03267,133.651,134.681,133.327,133.851,16846500.0
100,2019-08-01,MSFT,Technology,0.0175,0.0175,0.0175,0.0175,130.656,134.414,130.59,131.667,40557500.0
